Employee ID,Age,Gender,Department,Job Role,Monthly Income,Years at Company,Job Satisfaction,Performance Rating,Work-Life Balance,Attrition
EMP0177,59,Male,Sales,Sales Representative,4842,1,3,2,3,Yes
EMP0178,45,Male,Research & Development,Laboratory Technician,6297,5,3,4,2,No
EMP0179,26,Female,Research & Development,Laboratory Technician,8096,2,4,4,4,Yes
EMP0180,55,Male,Sales,Sales Representative,5572,2,2,2,3,No
EMP0181,27,Non-Binary,Research & Development,Research Scientist,9160,5,2,2,4,No
EMP0182,43,Female,Finance,Accountant,7149,2,4,3,3,No
EMP0183,32,Female,Sales,Sales Representative,6322,2,4,3,3,No
EMP0184,37,Male,Research & Development,Laboratory Technician,5379,9,4,1,4,No
EMP0185,54,Male,Research & Development,Manufacturing Director,13804,0,4,3,3,No
EMP0186,30,Male,IT,Manager,15878,5,1,3,2,Yes
EMP0187,27,Female,Finance,Accountant,5568,1,4,2,2,No
EMP0188,37,Male,Research & Development,Manager,18093,0,3,4,3,No
EMP0189,50,Male,IT,Software Engineer,9932,0,4,4,1,No
EMP0190,24,Female,Research & Development,Research Scientist,11427,4,3,3,3,No
EMP0191,41,Male,Research & Development,Laboratory Technician,7560,6,3,4,3,No
EMP0192,57,Female,Sales,Sales Executive,7707,0,3,3,4,No
EMP0193,40,Male,Sales,Manager,16395,0,2,3,3,No
EMP0194,47,Non-Binary,Sales,Sales Representative,6300,11,1,3,4,Yes
EMP0195,24,Male,Research & Development,Research Scientist,7670,0,4,3,2,Yes
EMP0196,40,Male,Sales,Sales Executive,7420,11,4,4,3,Yes
EMP0197,41,Male,Finance,Accountant,8170,1,1,3,1,Yes
EMP0198,53,Male,Sales,Sales Executive,4416,6,4,4,4,No
EMP0199,28,Female,Sales,Sales Representative,3575,1,3,3,4,No
EMP0200,54,Female,Research & Development,Research Scientist,9409,9,3,3,4,No
EMP0201,39,Female,Human Resources,Manager,14139,6,2,3,3,No
EMP0202,22,Male,Sales,Sales Executive,7462,2,4,2,3,No
EMP0203,32,Male,Research & Development,Research Scientist,7613,0,4,1,4,Yes
EMP0204,49,Male,Finance,Accountant,7879,6,3,3,4,No
EMP0205,46,Female,Sales,Sales Executive,8713,4,3,3,4,No
EMP0206,44,Female,Research & Development,Laboratory Technician,4296,0,1,3,3,No
EMP0207,52,Male,IT,IT Support,6996,0,3,3,4,No
EMP0208,51,Male,Sales,Sales Representative,9386,8,1,3,2,Yes
EMP0209,56,Female,Research & Development,Laboratory Technician,4355,1,2,3,2,No
EMP0210,28,Female,Research & Development,Manager,17998,5,3,3,1,No
EMP0211,37,Female,Research & Development,Research Scientist,11479,3,4,3,2,No
EMP0212,47,Female,Sales,Manager,14166,9,3,4,4,No
EMP0213,23,Male,Sales,Sales Representative,6891,5,2,3,4,No
EMP0214,22,Male,Research & Development,Research Scientist,8772,4,3,3,4,No
EMP0215,33,Female,Sales,Sales Executive,3784,0,4,4,3,No
EMP0216,26,Female,IT,Data Analyst,12092,8,4,4,3,No
EMP0217,58,Male,Research & Development,Research Scientist,7281,1,4,4,4,No
EMP0218,53,Female,Research & Development,Laboratory Technician,5833,4,3,3,3,No
EMP0219,30,Female,IT,Data Analyst,8214,3,4,1,4,No
EMP0220,56,Female,Research & Development,Laboratory Technician,7555,0,1,3,3,Yes
EMP0221,40,Female,Sales,Manager,15016,13,2,3,3,Yes
EMP0222,37,Male,Finance,Accountant,7641,0,2,4,3,No
EMP0223,24,Male,Sales,Sales Executive,7653,5,3,3,4,No
EMP0224,41,Male,Sales,Manager,18039,7,4,2,2,Yes
EMP0225,45,Female,IT,Software Engineer,7896,7,4,2,3,No
EMP0226,54,Female,Research & Development,Manufacturing Director,10504,0,1,2,4,Yes
EMP0227,45,Female,Research & Development,Manager,18099,2,1,3,3,No
EMP0228,32,Male,Sales,Manager,17333,8,2,3,4,No
EMP0229,29,Female,Research & Development,Manufacturing Director,18255,1,2,4,3,No
EMP0230,57,Female,Sales,Manager,13816,3,3,4,3,No
EMP0231,59,Female,Finance,Financial Analyst,11888,1,4,3,4,No
EMP0232,41,Female,Sales,Sales Representative,7266,3,4,3,3,No
EMP0233,56,Female,IT,Software Engineer,9408,10,3,3,3,No
EMP0234,46,Male,Research & Development,Laboratory Technician,7964,3,4,3,3,No
EMP0235,56,Male,IT,Software Engineer,10877,4,3,4,2,No
EMP0236,46,Male,Human Resources,Manager,16442,2,2,3,3,No
EMP0237,50,Male,Research & Development,Manager,12077,3,3,3,2,No
EMP0238,39,Female,Research & Development,Manufacturing Director,14960,0,3,3,4,No
EMP0239,39,Female,Sales,Sales Representative,5597,1,4,1,4,No
EMP0240,23,Male,Sales,Sales Representative,3509,2,2,2,2,Yes
EMP0241,56,Male,IT,Software Engineer,10554,5,2,3,3,Yes
EMP0242,37,Female,IT,Data Analyst,7049,2,2,3,3,No
EMP0243,57,Male,Research & Development,Research Scientist,7899,2,4,3,2,No
EMP0244,54,Male,Sales,Sales Representative,3995,2,3,3,2,No
EMP0245,25,Male,Research & Development,Laboratory Technician,4178,1,4,4,3,Yes
EMP0246,54,Male,Research & Development,Manager,13130,12,4,3,3,No
EMP0247,35,Male,Research & Development,Laboratory Technician,3656,3,2,3,3,No
EMP0248,42,Male,IT,Manager,12243,0,3,3,3,No
EMP0249,41,Male,Finance,Manager,15879,0,4,3,4,No
EMP0250,29,Female,Sales,Manager,13901,11,3,3,4,No
EMP0251,28,Male,Research & Development,Research Scientist,7486,1,4,4,3,No
EMP0252,24,Female,Research & Development,Laboratory Technician,4311,6,2,3,4,No
EMP0253,38,Male,Research & Development,Research Scientist,10806,0,1,3,3,No
EMP0254,54,Male,Sales,Sales Representative,6601,12,4,2,4,No
EMP0255,33,Female,Sales,Manager,12947,10,4,3,3,No
EMP0256,43,Male,IT,IT Support,7921,4,4,3,4,No
EMP0257,43,Male,Research & Development,Laboratory Technician,3757,0,3,4,3,No
EMP0258,51,Female,Research & Development,Laboratory Technician,6588,1,4,3,2,Yes
EMP0259,59,Female,Finance,Manager,16051,2,4,2,3,Yes
EMP0260,59,Male,IT,IT Support,5441,3,4,3,3,No
EMP0261,29,Male,Sales,Sales Executive,6735,1,3,3,3,No
EMP0262,48,Female,Research & Development,Manufacturing Director,12293,0,2,3,3,No
EMP0263,48,Male,Research & Development,Laboratory Technician,4904,4,4,3,4,No
EMP0264,55,Female,IT,Software Engineer,7261,3,3,3,3,No
EMP0265,42,Female,Human Resources,Recruiter,4108,1,3,1,3,Yes
EMP0266,51,Non-Binary,Research & Development,Manager,16539,0,3,3,2,No
EMP0267,54,Male,Research & Development,Research Scientist,15817,26,3,3,4,Yes
EMP0268,49,Female,IT,Data Analyst,8456,3,3,3,4,No
EMP0269,54,Male,Sales,Manager,18469,7,1,3,4,Yes
EMP0270,26,Male,Sales,Sales Representative,5911,3,4,3,3,No
EMP0271,40,Male,Research & Development,Research Scientist,6789,0,3,3,3,No
EMP0272,25,Female,Sales,Sales Representative,3371,1,3,3,2,Yes
EMP0273,56,Male,Sales,Sales Executive,7560,1,1,3,3,Yes
EMP0274,38,Male,IT,Manager,19789,9,1,4,2,No
EMP0275,49,Male,Finance,Accountant,5885,5,2,3,3,No
EMP0276,51,Female,Research & Development,Manufacturing Director,18867,1,4,3,3,No
EMP0277,50,Female,Sales,Manager,14449,17,1,2,3,No
EMP0278,27,Female,Sales,Sales Representative,7329,1,4,2,3,No
EMP0279,56,Male,Sales,Sales Representative,11511,31,2,2,4,Yes
EMP0280,58,Male,Sales,Sales Representative,9561,27,2,3,2,No
EMP0281,45,Female,Finance,Financial Analyst,7015,1,1,2,4,No
EMP0282,50,Male,Sales,Sales Representative,6966,1,1,3,2,No
EMP0283,52,Male,Research & Development,Manager,19545,3,4,3,1,No
EMP0284,56,Female,Sales,Sales Representative,8661,5,4,3,2,No
EMP0285,54,Non-Binary,IT,Software Engineer,7061,3,3,3,4,No
EMP0286,42,Female,Human Resources,Manager,16639,17,1,3,3,Yes
EMP0287,53,Female,Finance,Accountant,6902,6,2,3,4,No
EMP0288,44,Non-Binary,IT,Data Analyst,6280,1,3,3,3,No
EMP0289,54,Male,Research & Development,Manufacturing Director,12804,0,4,3,1,No
EMP0290,24,Female,Sales,Manager,19031,5,2,3,4,Yes
EMP0291,39,Non-Binary,Research & Development,Research Scientist,6869,0,4,3,2,No
EMP0292,46,Male,Research & Development,Manager,16926,7,3,3,4,No
EMP0293,52,Female,Research & Development,Laboratory Technician,7894,1,2,4,2,Yes
EMP0294,24,Female,Sales,Sales Representative,4006,1,3,3,3,Yes
EMP0295,45,Female,Sales,Sales Executive,4934,0,1,2,4,No
EMP0296,53,Female,Research & Development,Manufacturing Director,16372,6,4,3,4,No
EMP0297,43,Female,Research & Development,Research Scientist,6703,0,2,3,3,No
EMP0298,44,Female,IT,IT Support,6923,7,4,3,4,No
EMP0299,23,Male,Sales,Sales Executive,6239,3,1,3,2,Yes
EMP0300,48,Female,Research & Development,Manufacturing Director,17559,7,4,3,4,No
EMP0301,23,Male,Sales,Sales Executive,8382,4,1,4,3,Yes
EMP0302,47,Male,Sales,Manager,13909,0,4,3,2,No
EMP0303,38,Male,Research & Development,Manufacturing Director,12564,7,4,3,3,No
EMP0304,54,Male,Sales,Manager,10619,0,4,2,2,No
EMP0305,30,Male,Sales,Manager,18582,3,3,4,3,No
EMP0306,50,Female,Research & Development,Manufacturing Director,13066,0,4,4,2,No
EMP0307,47,Female,Sales,Sales Representative,9072,6,2,2,3,Yes
EMP0308,56,Female,Sales,Manager,21038,12,1,3,4,No
EMP0309,46,Male,Sales,Sales Representative,6137,4,3,3,1,Yes
EMP0310,45,Female,Sales,Manager,19000,3,1,3,3,Yes
EMP0311,34,Female,Sales,Sales Representative,6860,7,4,3,3,No
EMP0312,28,Female,Research & Development,Laboratory Technician,6442,0,1,2,4,No
EMP0313,57,Male,Sales,Sales Executive,8111,12,3,4,3,Yes
EMP0314,41,Male,Sales,Manager,11491,1,3,2,3,No
EMP0315,22,Male,Research & Development,Manager,16174,4,3,3,3,No
EMP0316,29,Male,Research & Development,Research Scientist,8600,6,3,3,2,No
EMP0317,37,Male,IT,Software Engineer,13172,7,1,3,1,No
EMP0318,35,Female,IT,IT Support,8950,5,3,2,3,No
EMP0319,33,Male,Human Resources,HR Partner,6255,3,2,2,1,Yes
EMP0320,44,Male,Research & Development,Manufacturing Director,17313,4,4,3,3,No
EMP0321,36,Male,Research & Development,Research Scientist,6704,0,4,3,3,No
EMP0322,49,Male,Research & Development,Manufacturing Director,11625,4,4,2,3,No
EMP0323,55,Male,Sales,Manager,19996,4,1,2,2,No
EMP0324,23,Male,Sales,Manager,11376,5,2,2,4,Yes
EMP0325,53,Male,Sales,Sales Representative,4572,3,1,3,4,Yes
EMP0326,44,Female,Finance,Financial Analyst,10213,0,1,3,2,Yes
EMP0327,43,Non-Binary,Research & Development,Laboratory Technician,6276,1,2,2,3,No
EMP0328,46,Male,Human Resources,HR Partner,4443,5,3,3,3,No
EMP0329,43,Male,Research & Development,Research Scientist,6954,1,2,2,1,Yes
EMP0330,43,Female,Research & Development,Research Scientist,9804,1,3,4,3,No
EMP0331,27,Male,Sales,Sales Representative,9335,8,4,4,2,No
EMP0332,36,Male,Sales,Sales Executive,5971,4,3,3,4,No
EMP0333,58,Female,IT,Data Analyst,9305,3,2,4,4,No
EMP0334,54,Male,Research & Development,Manufacturing Director,15596,1,2,4,3,Yes
EMP0335,29,Female,Research & Development,Research Scientist,10665,6,3,4,3,Yes
EMP0336,26,Female,IT,Manager,12911,1,1,3,4,No
EMP0337,25,Male,Sales,Sales Executive,6607,6,3,3,4,No
EMP0338,27,Male,Finance,Manager,18814,0,2,3,4,No
EMP0339,53,Female,Research & Development,Manufacturing Director,17388,9,4,3,2,Yes
EMP0340,51,Male,Research & Development,Research Scientist,12347,3,4,3,2,No
EMP0341,56,Male,Research & Development,Manufacturing Director,12123,2,3,2,3,No
EMP0342,37,Female,Sales,Sales Representative,7122,4,2,3,3,No
EMP0343,34,Male,Sales,Sales Representative,5719,4,2,3,1,No
EMP0344,51,Male,Research & Development,Research Scientist,6918,0,4,3,1,No
EMP0345,40,Female,IT,Data Analyst,12669,7,3,3,4,No
EMP0346,38,Male,IT,Data Analyst,11481,1,2,4,4,No
EMP0347,40,Female,Sales,Sales Executive,9415,11,1,3,3,No
EMP0348,49,Female,Research & Development,Manufacturing Director,12181,8,1,3,4,No
EMP0349,47,Female,Sales,Sales Executive,7281,2,4,3,3,No
EMP0350,58,Male,Sales,Sales Representative,6286,8,2,3,4,No
EMP0351,47,Non-Binary,Research & Development,Manager,14309,2,3,2,3,No
EMP0352,44,Male,Research & Development,Research Scientist,7999,0,3,4,2,Yes
EMP0353,30,Female,Sales,Sales Executive,8111,12,3,3,3,No
EMP0354,33,Male,Sales,Sales Representative,4400,5,4,2,3,No
EMP0355,22,Male,Finance,Accountant,7248,3,4,3,3,No
EMP0356,22,Male,Sales,Sales Executive,6028,2,3,2,2,No
EMP0357,55,Female,Research & Development,Laboratory Technician,4856,1,1,3,4,Yes
EMP0358,53,Non-Binary,Research & Development,Laboratory Technician,7420,19,3,1,2,No
EMP0359,46,Male,Sales,Sales Representative,3246,0,3,2,2,No
EMP0360,22,Male,Sales,Sales Representative,6539,1,3,2,3,Yes
EMP0361,37,Female,Research & Development,Laboratory Technician,6610,3,3,2,3,No
EMP0362,26,Male,IT,Manager,15319,3,1,3,3,No
EMP0363,43,Male,Research & Development,Laboratory Technician,5968,3,3,4,4,No
EMP0364,50,Female,Research & Development,Manufacturing Director,11839,0,1,3,3,No
EMP0365,24,Male,Finance,Financial Analyst,8903,0,4,4,3,No
EMP0366,33,Non-Binary,IT,Manager,16405,1,2,3,4,No
EMP0367,47,Male,Research & Development,Manager,16795,12,4,3,1,No
EMP0368,37,Male,Research & Development,Laboratory Technician,7498,0,1,2,3,Yes
EMP0369,58,Male,Research & Development,Research Scientist,13167,7,3,3,4,No
EMP0370,43,Female,Research & Development,Manufacturing Director,15091,7,4,3,1,No
EMP0371,50,Male,Research & Development,Laboratory Technician,8441,8,2,3,3,No
EMP0372,35,Female,Research & Development,Research Scientist,12348,10,4,3,4,No
EMP0373,49,Male,Sales,Sales Representative,4592,1,3,3,3,No
EMP0374,26,Female,Research & Development,Laboratory Technician,6950,1,3,3,3,No
EMP0375,51,Male,Sales,Sales Representative,7855,3,2,4,4,Yes
EMP0376,26,Male,Sales,Sales Representative,6208,1,3,3,2,No
EMP0377,33,Female,Sales,Sales Representative,8500,6,3,3,1,No
EMP0378,37,Male,Research & Development,Laboratory Technician,7338,5,3,3,4,No
EMP0379,47,Male,Research & Development,Laboratory Technician,8514,10,3,3,4,No
EMP0380,47,Female,Sales,Manager,10759,0,3,2,3,No
EMP0381,42,Male,Research & Development,Manager,22315,12,2,3,3,No
EMP0382,57,Female,Research & Development,Manufacturing Director,18821,1,2,3,4,No
EMP0383,54,Male,Sales,Sales Representative,5955,3,1,3,4,No
EMP0384,51,Female,Research & Development,Laboratory Technician,5859,2,2,2,2,No
EMP0385,58,Male,IT,IT Support,8592,7,4,4,1,No
EMP0386,44,Male,IT,IT Support,5118,2,4,3,3,No
EMP0387,31,Non-Binary,Research & Development,Manager,22057,13,2,3,4,No
